Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.034145488738336,1.35935639087853,17.2983066750716,2.13527202559716e-06,1718.24875708862,0.110533751144662,2.02737909101376,-0.00867688273155459,0
GFM-MWT,h_mp,h,mp,0.034145488738336,1.84784979742229,17.2983066750716,2.90259567425963e-06,1718.24875598722,0.11393639998431,2.03690896954721,-0.0089021271888978,0
GFM-MWT,h_mp,h,mp,0.034145488738336,2.51188643150958,17.2983066750716,3.94566197994119e-06,1718.24875517672,0.123307755638044,2.04940469958069,-0.00957553141991812,0
GFM-MWT,h_mp,h,mp,0.034145488738336,3.4145488738336,17.2983066750716,5.36356082867947e-06,1718.24875458003,0.144588969726449,2.06536840870379,-0.0111411702213399,0
GFM-MWT,h_mp,h,mp,0.034145488738336,4.64158883361278,17.2983066750716,7.29099069033116e-06,1718.24875414124,0.187351785564677,2.08474861095308,-0.0143014429194185,0
GFM-MWT,h_mp,h,mp,0.034145488738336,6.30957344480193,17.2983066750716,9.9110547907375e-06,1718.24875381816,0.262693068263806,2.10615076802042,-0.0198469482159635,0
GFM-MWT,h_mp,h,mp,0.034145488738336,8.57695898590894,17.2983066750716,1.34726556701362e-05,1718.24875358046,0.374584221579042,2.12649181927687,-0.0280243332501067,0
GFM-MWT,h_mp,h,mp,0.034145488738336,11.6591440117983,17.2983066750716,1.83141405873055e-05,1718.24875340578,0.511323343156711,2.14252995442103,-0.0379555942401778,0
GFM-MWT,h_mp,h,mp,0.034145488738336,15.8489319246111,17.2983066750716,2.48954440508015e-05,1718.24875327691,0.651776198918316,2.15305825047064,-0.04812374044915,0
GFM-MWT,h_mp,h,mp,0.034145488738336,21.5443469003188,17.2983066750716,3.38417809742158e-05,1718.2487531826,0.779166162295811,2.1589320468667,-0.0573450567184983,0
GFM-MWT,h_mp,h,mp,0.034145488738336,29.2864456462524,17.2983066750716,4.60030412460116e-05,1718.24875311275,0.886001988285836,2.16169129206614,-0.0650937221044127,0
GFM-MWT,h_mp,h,mp,0.034145488738336,39.8107170553497,17.2983066750716,6.25345281176143e-05,1718.24875306171,0.971466470658706,2.16265370301338,-0.0713105704422373,0
GFM-MWT,h_mp,h,mp,0.034145488738336,54.1169526546464,17.2983066750716,8.50067104472519e-05,1718.24875302396,1.03790179764847,2.1626978559323,-0.0761583288333414,0
GFM-MWT,h_mp,h,mp,0.034145488738336,73.5642254459641,17.2983066750716,0.000115554415114032,1718.24875299605,1.08862846702657,2.16233781094371,-0.0798705344650713,0
GFM-MWT,h_mp,h,mp,0.034145488738336,100,17.2983066750716,0.00015707963267949,1718.24875297576,1.12691620175899,2.16184759393377,-0.0826793762496152,0
GFM-MWT,h_mp,h,mp,0.0464158883361278,0.01,23.5145637301352,1.5707963267949e-08,1718.24895053478,0.115904423208463,1.99984595116111,-0.00922369903458343,0
