Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage1,2409,0.00237137370566166,0.421696503428582,0.000474274741132331,0.000790457901887218,0.046386615377144,111.327876905146,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.83060001794,832.83060001794,2247.00477274874,0.0167468520324916,1.98435192938924,-0.00134318002689252,0
stage1,2307,0.00237137370566166,0.133352143216332,0.000474274741132331,0.000790457901887218,0.0146687357537966,35.2049658091118,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.831152526064,832.831152526064,2247.02097539584,0.0168078681604329,1.98436808910924,-0.00134806283400579,0
stage1,2181,0.00237137370566166,0.0316227766016838,0.000474274741132331,0.000790457901887218,0.00347850542618522,8.34841302284452,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.83236436359,832.83236436359,2247.02643840357,0.0168292696831231,1.98437362435284,-0.00134977555934383,0
stage1,2156,0.00237137370566166,0.0237137370566166,0.000474274741132331,0.000790457901887218,0.00260851107622782,6.26042658294677,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.833810260758,832.833810260758,2247.02652600597,0.0168302974480756,1.98437384762521,-0.00134985783822421,0
stage1,2131,0.00237137370566166,0.0177827941003892,0.000474274741132331,0.000790457901887218,0.00195610735104282,4.69465764250276,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.834894529676,832.834894529676,2247.02659169844,0.0168310682759181,1.98437401501556,-0.0013499195477469,0
stage1,2106,0.00237137370566166,0.0133352143216332,0.000474274741132331,0.000790457901887218,0.00146687357537966,3.52049658091118,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.835707616531,832.835707616531,2247.02664096077,0.0168316464090206,1.9843741405261,-0.00134996583088415,0
stage1,2081,0.00237137370566166,0.01,0.000474274741132331,0.000790457901887218,0.0011,2.64,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.836317344923,832.836317344923,2247.02667790225,0.0168320799886371,1.9843742346341,-0.00135000054162922,0
stage1,2056,0.00237137370566166,0.00749894209332456,0.000474274741132331,0.000790457901887218,0.000824883630265701,1.97972071263768,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.836774577151,832.836774577151,2247.02670560449,0.0168324051398743,1.98437430519506,-0.00135002657201466,0
stage1,2031,0.00237137370566166,0.00562341325190349,0.000474274741132331,0.000790457901887218,0.000618575457709384,1.48458109850252,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.837117452711,832.837117452711,2247.02672637824,0.0168326490104927,1.98437435811009,-0.00135004609538311,0
stage1,2282,0.00237137370566166,0.1,0.000474274741132331,0.000790457901887218,0.011,26.4,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.837249804747,832.837249804747,2247.02134482929,0.0168121840282653,1.98436903392946,-0.00134840834239659,0
stage1,2006,0.00237137370566166,0.00421696503428582,0.000474274741132331,0.000790457901887218,0.00046386615377144,1.11327876905146,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.837374572991,832.837374572991,2247.0267419564,0.016832831890354,1.98437439778979,-0.00135006073606031,0
stage1,1981,0.00237137370566166,0.00316227766016838,0.000474274741132331,0.000790457901887218,0.000347850542618522,0.834841302284452,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.837567386026,832.837567386026,2247.0267536383,0.0168329690278166,1.98437442754286,-0.00135007171477315,0
stage1,1956,0.00237137370566166,0.00237137370566166,0.000474274741132331,0.000790457901887218,0.000260851107622782,0.626042658294677,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.837711975227,832.837711975227,2247.02676239851,0.0168330718445762,1.98437444984756,-0.00135007994590004,0
stage1,1931,0.00237137370566166,0.00177827941003892,0.000474274741132331,0.000790457901887218,0.000195610735104282,0.469465764250276,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.837820401686,832.837820401686,2247.02676896776,0.016833149002208,1.98437446658638,-0.00135008612285224,0
stage1,1906,0.00237137370566166,0.00133352143216332,0.000474274741132331,0.000790457901887218,0.000146687357537966,0.352049658091118,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.837901711396,832.837901711396,2247.02677389399,0.0168332068101542,1.98437447912598,-0.00135009075074169,0
stage1,1881,0.00237137370566166,0.001,0.000474274741132331,0.000790457901887218,0.00011,0.264,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.83796268373,832.83796268373,2247.02677758812,0.0168332501778672,1.9843744885341,-0.00135009422259908,0
stage1,2358,0.00237137370566166,0.237137370566166,0.000474274741132331,0.000790457901887218,0.0260851107622782,62.6042658294677,0.2,0.5,-5000000,0.2,0.3,0.0795774715459477,832.83825889963,832.83825889963,2247.01332149586,0.0167823644684095,1.98436116494951,-0.00134602202939277,0
stage1,2257,0.00237137370566166,0.0749894209332456,0.000474274741132331,0.000790457901887218,0.00824883630265701,19.7972071263768,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.841822108589,832.841822108589,2247.02162186423,0.0168154229762191,1.98436974184911,-0.00134866763813024,0
stage1,3082,0.00316227766016838,0.749894209332456,0.000632455532033676,0.00105409255338946,0.0824883630265701,197.972071263768,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.844034169846,832.844034169846,2246.95245201414,0.0167077677952054,1.98434679827017,-0.0013400487492511,0
