Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0184784979742229,17.2983066750716,2.90259567425963e-08,-0.0171127527133315,-0.0903645005274791,1.99740839669844,0.00720012200056899,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0251188643150958,17.2983066750716,3.94566197994119e-08,-0.0165277668133366,-0.0903441979519586,1.99745312757042,0.00719834320784438,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.034145488738336,17.2983066750716,5.36356082867947e-08,-0.016146753004837,-0.0903190453170619,1.99751400737884,0.00719611991119929,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0464158883361278,17.2983066750716,7.29099069033116e-08,-0.0158884010382514,-0.0902893883542433,1.99759689447257,0.00719345865339288,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0630957344480193,17.2983066750716,9.9110547907375e-08,-0.0157087496871098,-0.090257488176635,1.99770978673876,0.0071905109174733,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0857695898590894,17.2983066750716,1.34726556701362e-07,-0.0155817284826352,-0.0902297532137374,1.99786360044703,0.00718774808810233,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.116591440117983,17.2983066750716,1.83141405873055e-07,-0.0154908917581954,-0.0902211058202765,1.9980732079838,0.00718630534960388,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.158489319246111,17.2983066750716,2.48954440508015e-07,-0.0154254152787863,-0.0902633817074527,1.9983587642385,0.00718864522306025,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.215443469003188,17.2983066750716,3.38417809742158e-07,-0.0153779531941259,-0.090421218273264,1.99874723919041,0.00719981524748358,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.292864456462524,17.2983066750716,4.60030412460116e-07,-0.0153434099876794,-0.0908214143707822,1.99927371839985,0.00722977505646582,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.398107170553497,17.2983066750716,6.25345281176143e-07,-0.0153181968660443,-0.0917049651707442,1.99998106043899,0.0072975240458752,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.541169526546464,17.2983066750716,8.50067104472518e-07,-0.0152997549153553,-0.0935117006117512,2.00091415599204,0.00743781919420383,1
GFM-MWT,h_mp,h,mp,0.034145488738336,0.735642254459641,17.2983066750716,1.15554415114032e-06,-0.0152862450352781,-0.0969924319696802,2.00210039213277,0.00771008597770617,1
GFM-MWT,h_mp,h,mp,0.034145488738336,1,17.2983066750716,1.5707963267949e-06,-0.0152763365303834,-0.10327618214657,2.00350255519271,0.00820381372469736,1
GFM-MWT,h_mp,h,mp,0.034145488738336,1.35935639087853,17.2983066750716,2.13527202559716e-06,-0.0152690645522491,-0.113652403959651,2.00493846010846,0.00902152666672189,1
GFM-MWT,h_mp,h,mp,0.034145488738336,1.84784979742229,17.2983066750716,2.90259567425963e-06,-0.0152637234760142,-0.128682473958349,2.00602108039063,0.0102089577856058,1
GFM-MWT,h_mp,h,mp,0.034145488738336,2.51188643150958,17.2983066750716,3.94566197994119e-06,-0.0152597987504964,-0.146814610612803,2.00627935984975,0.0116457791947629,1
GFM-MWT,h_mp,h,mp,0.034145488738336,3.4145488738336,17.2983066750716,5.36356082867947e-06,-0.0152569142657857,-0.164287806275371,2.0055242213564,0.0130364890263132,1
GFM-MWT,h_mp,h,mp,0.034145488738336,4.64158883361278,17.2983066750716,7.29099069033116e-06,-0.0152547940967199,-0.177642105984724,2.00406292317673,0.0141062468005968,1
GFM-MWT,h_mp,h,mp,0.034145488738336,6.30957344480193,17.2983066750716,9.9110547907375e-06,-0.0152532348835268,-0.185990741309296,2.0024128122518,0.0147812238176783,1
GFM-MWT,h_mp,h,mp,0.034145488738336,8.57695898590894,17.2983066750716,1.34726556701362e-05,-0.0152520884392405,-0.190443496938666,2.00092992786769,0.0151462310649773,1
GFM-MWT,h_mp,h,mp,0.034145488738336,11.6591440117983,17.2983066750716,1.83141405873055e-05,-0.0152512453768603,-0.192504854306962,1.99973978902449,0.0153192450467692,1
GFM-MWT,h_mp,h,mp,0.034145488738336,15.8489319246111,17.2983066750716,2.48954440508015e-05,-0.015250625050304,-0.193291250038446,1.99883582281513,0.0153887651735759,1
GFM-MWT,h_mp,h,mp,0.034145488738336,21.5443469003188,17.2983066750716,3.38417809742158e-05,-0.0152501691006976,-0.193463961688393,1.99816648321844,0.0154076705068134,1
